2014-01-01;Nový rok
2014-01-02;Alexandra
2014-01-03;Daniela
2014-01-04;Drahoslav
2014-01-05;Andrea
2014-01-06;Antónia
2014-01-07;Bohuslava
2014-01-08;Severín
2014-01-09;Alexej
2014-01-10;Dáša
2014-01-11;Malvína
2014-01-12;Ernest
2014-01-13;Rastislav
2014-01-14;Radovan
2014-01-15;Dobroslav
2014-01-16;Kristína
2014-01-17;Nataša
2014-01-18;Bohdana
2014-01-19;Drahomíra
2014-01-20;Dalibor
2014-01-21;Vincent
2014-01-22;Zora
2014-01-23;Miloš
2014-01-24;Timotej
2014-01-25;Gejza
2014-01-26;Tamara
2014-01-27;Bohuš
2014-01-28;Alfonz
2014-01-29;Gašpar
2014-01-30;Ema
2014-01-31;Emil
2014-02-01;Tatiana
2014-02-02;Erik
2014-02-03;Blažej
2014-02-04;Veronika
2014-02-05;Agáta
2014-02-06;Dorota
2014-02-07;Vanda
2014-02-08;Zoja
2014-02-09;Zdenko
2014-02-10;Gabriela
2014-02-11;Dezider
2014-02-12;Perla
2014-02-13;Arpád
2014-02-14;Valentín
2014-02-15;Pravoslav
2014-02-16;Ida Liana
2014-02-17;Miloslava
2014-02-18;Jaromír
2014-02-19;Vlasta
2014-02-20;Lívia
2014-02-21;Eleonóra
2014-02-22;Etela
2014-02-23;Roman
2014-02-24;Matej
2014-02-25;Frederik
2014-02-26;Viktor
2014-02-27;Alexander
2014-02-28;Zlatica
2014-02-29;Radomír
2014-03-01;Albín
2014-03-02;Anežka
2014-03-03;Bohumil
2014-03-04;Kazimír
2014-03-05;Fridrich
2014-03-06;Radoslav
2014-03-07;Tomáš
2014-03-08;Alan
2014-03-09;Františka
2014-03-10;Branislav
2014-03-11;Angela
2014-03-12;Gregor
2014-03-13;Vlastimil
2014-03-14;Matilda
2014-03-15;Svetlana
2014-03-16;Boleslav
2014-03-17;Ľubica
2014-03-18;Eduard
2014-03-19;Jozef
2014-03-20;Víťazoslav
2014-03-21;Blahoslav
2014-03-22;Beňadik
2014-03-23;Adrián
2014-03-24;Gabriel
2014-03-25;Marián
2014-03-26;Emanuel
2014-03-27;Alena
2014-03-28;Soňa
2014-03-29;Miroslav
2014-03-30;Vieroslava
2014-03-31;Benjamín
2014-04-01;Hugo
2014-04-02;Zita
2014-04-03;Richard
2014-04-04;Izidor
2014-04-05;Miroslava
2014-04-06;Irena
2014-04-07;Zoltán
2014-04-08;Albert
2014-04-09;Milena
2014-04-10;Igor
2014-04-11;Július
2014-04-12;Estera
2014-04-13;Aleš
2014-04-14;Justína
2014-04-15;Fedor
2014-04-16;Dana
2014-04-17;Rudolf
2014-04-18;Valér
2014-04-19;Jela
2014-04-20;Marcel
2014-04-21;Ervín
2014-04-22;Slavomír
2014-04-23;Vojtech
2014-04-24;Juraj
2014-04-25;Marek
2014-04-26;Jaroslava
2014-04-27;Jaroslav
2014-04-28;Jarmila
2014-04-29;Lea
2014-04-30;Anastázia
2014-05-01;Sviatok práce
2014-05-02;Žigmund
2014-05-03;Galina
2014-05-04;Florián
2014-05-05;Lesana
2014-05-06;Hermína
2014-05-07;Monika
2014-05-08;Ingrida
2014-05-09;Roland
2014-05-10;Viktória
2014-05-11;Blažena
2014-05-12;Pankrác
2014-05-13;Servác
2014-05-14;Bonifác
2014-05-15;Žofia
2014-05-16;Svetozár
2014-05-17;Gizela
2014-05-18;Viola
2014-05-19;Gertrúda
2014-05-20;Bernard
2014-05-21;Zina
2014-05-22;Júlia
2014-05-23;Želmíra
2014-05-24;Ela
2014-05-25;Urban
2014-05-26;Dušan
2014-05-27;Iveta
2014-05-28;Viliam
2014-05-29;Vilma
2014-05-30;Ferdinand
2014-05-31;Petronela
2014-06-01;Žaneta
2014-06-02;Xénia
2014-06-03;Karolína
2014-06-04;Lenka
2014-06-05;Laura
2014-06-06;Norbert
2014-06-07;Róbert
2014-06-08;Medard
2014-06-09;Stanislava
2014-06-10;Margaréta
2014-06-11;Dobroslava
2014-06-12;Zlatko
2014-06-13;Anton
2014-06-14;Vasil
2014-06-15;Vít
2014-06-16;Blanka
2014-06-17;Adolf
2014-06-18;Vratislav
2014-06-19;Alfréd
2014-06-20;Valéria
2014-06-21;Alojz
2014-06-22;Paulína
2014-06-23;Sidónia
2014-06-24;Ján
2014-06-25;Tadeáš
2014-06-26;Adriána
2014-06-27;Ladislav
2014-06-28;Beáta
2014-06-29;Peter
2014-06-30;Melánia
2014-07-01;Diana
2014-07-02;Berta
2014-07-03;Miloslav
2014-07-04;Prokop
2014-07-05;Cyril
2014-07-06;Patrik
2014-07-07;Oliver
2014-07-08;Ivan
2014-07-09;Lujza
2014-07-10;Amália
2014-07-11;Milota
2014-07-12;Nina
2014-07-13;Margita
2014-07-14;Kamil
2014-07-15;Henrich
2014-07-16;Drahomír
2014-07-17;Bohuslav
2014-07-18;Kamila
2014-07-19;Dušana
2014-07-20;Iľja
2014-07-21;Daniel
2014-07-22;Magdaléna
2014-07-23;Oľga
2014-07-24;Vladimír
2014-07-25;Jakub
2014-07-26;Anna Hana
2014-07-27;Božena
2014-07-28;Krištof
2014-07-29;Marta
2014-07-30;Libuša
2014-07-31;Ignác
2014-08-01;Božidara
2014-08-02;Gustáv
2014-08-03;Jerguš
2014-08-04;Dominik
2014-08-05;Hortenzia
2014-08-06;Jozefína
2014-08-07;Štefánia
2014-08-08;Oskar
2014-08-09;Ľubomíra
2014-08-10;Vavrinec
2014-08-11;Zuzana
2014-08-12;Darina
2014-08-13;Ľubomír
2014-08-14;Mojmír
2014-08-15;Marcela
2014-08-16;Leonard
2014-08-17;Milica
2014-08-18;Elena Helena
2014-08-19;Lýdia
2014-08-20;Anabela
2014-08-21;Jana
2014-08-22;Tichomír
2014-08-23;Filip
2014-08-24;Bartolomej
2014-08-25;Ľudovít
2014-08-26;Samuel
2014-08-27;Silvia
2014-08-28;Augustín
2014-08-29;Nikola
2014-08-30;Ružena
2014-08-31;Nora
2014-09-01;Drahoslava
2014-09-02;Linda
2014-09-03;Belo
2014-09-04;Rozália
2014-09-05;Regína
2014-09-06;Alica
2014-09-07;Marianna
2014-09-08;Miriama
2014-09-09;Martina
2014-09-10;Oleg
2014-09-11;Bystrík
2014-09-12;Mária
2014-09-13;Ctibor
2014-09-14;Ľudomil
2014-09-15;Jolana
2014-09-16;Ľudomila
2014-09-17;Olympia
2014-09-18;Eugénia
2014-09-19;Konštantín
2014-09-20;Ľuboslav
2014-09-21;Matúš
2014-09-22;Móric
2014-09-23;Zdenka
2014-09-24;Ľuboš
2014-09-25;Vladislav
2014-09-26;Edita
2014-09-27;Cyprián
2014-09-28;Václav
2014-09-29;Michal
2014-09-30;Jarolím
2014-10-01;Arnold
2014-10-02;Levoslav
2014-10-03;Stela
2014-10-04;František
2014-10-05;Viera
2014-10-06;Natália
2014-10-07;Eliška
2014-10-08;Brigita
2014-10-09;Dionýz
2014-10-10;Slavomíra
2014-10-11;Valentína
2014-10-12;Maximilián
2014-10-13;Koloman
2014-10-14;Boris
2014-10-15;Terézia
2014-10-16;Vladimíra
2014-10-17;Hedviga
2014-10-18;Lukáš
2014-10-19;Kristián
2014-10-20;Vendelín
2014-10-21;Uršuľa
2014-10-22;Sergej
2014-10-23;Alojza
2014-10-24;Kvetoslava
2014-10-25;Aurel
2014-10-26;Demeter
2010-10-27;Sabína
2010-10-28;Dobromila
2010-10-29;Klára
2010-10-30;Simona
2010-10-31;Aurélia
2010-11-01;Denis Denisa
2010-11-02;Pamiatka zosnulých
2010-11-03;Hubert
2010-11-04;Karol
2010-11-05;Imrich
2010-11-06;Renáta
2010-11-07;René
2010-11-08;Bohumír
2010-11-09;Teodor
2010-11-10;Tibor
2010-11-11;Maroš Martin
2010-11-12;Svätopluk
2010-11-13;Stanislav
2010-11-14;Irma
2010-11-15;Leopold
2010-11-16;Agnesa
2010-11-17;Klaudia
2010-11-18;Eugen
2010-11-19;Alžbeta
2010-11-20;Félix
2010-11-21;Elvíra
2010-11-22;Cecília
2010-11-23;Klement
2010-11-24;Emília
2010-11-25;Katarína
2010-11-26;Kornel
2010-11-27;Milan
2010-11-28;Henrieta
2010-11-29;Vratko
2010-11-30;Ondrej
2010-12-01;Edmund
2010-12-02;Bibiána
2010-12-03;Oldrich
2010-12-04;Barbora
2010-12-05;Oto
2010-12-06;Mikuláš
2010-12-07;Ambróz
2010-12-08;Marína
2010-12-09;Izabela
2010-12-10;Radúz
2010-12-11;Hilda
2010-12-12;Otília
2010-12-13;Lucia
2010-12-14;Branislava
2010-12-15;Ivica
2010-12-16;Albína
2010-12-17;Kornélia
2010-12-18;Sláva
2010-12-19;Judita
2010-12-20;Dagmara
2010-12-21;Bohdan
2010-12-22;Adela
2010-12-23;Nadežda
2010-12-24;Adam
2010-12-25;1.sviatok vianočný
2010-12-26;Štefan
2010-12-27;Filoména
2010-12-28;Ivana
2010-12-29;Milada
2010-12-30;Dávid
2010-12-31;Silvester